Model,Accuracy,Precision,Recall,F1_Score,CV_Mean,CV_Std
Logistic Regression,0.7635135135135135,0.7635782747603834,0.7029411764705882,0.7320061255742726,0.7527027027027027,0.015759329445527836
Decision Tree,0.7864864864864864,0.8033333333333333,0.7088235294117647,0.753125,0.7216216216216216,0.037837837837837805
Random Forest,0.831081081081081,0.8045325779036827,0.8352941176470589,0.8196248196248196,0.7554054054054055,0.036361146073172194
K-Nearest Neighbors,0.7864864864864864,0.7630057803468208,0.7764705882352941,0.7696793002915452,0.7540540540540541,0.032712752532189755
Gradient Boosting,0.8621621621621621,0.8305555555555556,0.8794117647058823,0.8542857142857143,0.7662162162162163,0.04307399310948439
Support Vector Machine,0.8378378378378378,0.8216374269005848,0.8264705882352941,0.8240469208211144,0.768918918918919,0.026133891359207732
Voting Classifier,0.8405405405405405,0.8226744186046512,0.8323529411764706,0.827485380116959,0.7675675675675676,0.03299069085333433
